StartDate,EndDate,ProfileDescription,Fraction
2023-11-30 00:15:00.0000000 +01:00,2023-11-30 00:30:00.0000000 +01:00,E3C,0.00003916
2023-11-30 01:15:00.0000000 +01:00,2023-11-30 01:30:00.0000000 +01:00,E3C,0.00003924
2023-11-30 02:00:00.0000000 +01:00,2023-11-30 02:15:00.0000000 +01:00,E3C,0.00003856
2023-11-30 02:15:00.0000000 +01:00,2023-11-30 02:30:00.0000000 +01:00,E3C,0.00003842
2023-11-30 04:30:00.0000000 +01:00,2023-11-30 04:45:00.0000000 +01:00,E3C,0.00003930
2023-11-30 05:15:00.0000000 +01:00,2023-11-30 05:30:00.0000000 +01:00,E3C,0.00004068
2023-11-30 06:15:00.0000000 +01:00,2023-11-30 06:30:00.0000000 +01:00,E3C,0.00004726
2023-11-30 09:45:00.0000000 +01:00,2023-11-30 10:00:00.0000000 +01:00,E3C,0.00010214
2023-11-30 10:15:00.0000000 +01:00,2023-11-30 10:30:00.0000000 +01:00,E3C,0.00010374
2023-11-30 10:30:00.0000000 +01:00,2023-11-30 10:45:00.0000000 +01:00,E3C,0.00010476
2023-11-30 11:15:00.0000000 +01:00,2023-11-30 11:30:00.0000000 +01:00,E3C,0.00010604
2023-11-30 12:45:00.0000000 +01:00,2023-11-30 13:00:00.0000000 +01:00,E3C,0.00010054
2023-11-30 14:45:00.0000000 +01:00,2023-11-30 15:00:00.0000000 +01:00,E3C,0.00010252
2023-11-30 16:00:00.0000000 +01:00,2023-11-30 16:15:00.0000000 +01:00,E3C,0.00009792
2023-11-30 16:15:00.0000000 +01:00,2023-11-30 16:30:00.0000000 +01:00,E3C,0.00009508
2023-11-30 16:30:00.0000000 +01:00,2023-11-30 16:45:00.0000000 +01:00,E3C,0.00009266
2023-11-30 17:30:00.0000000 +01:00,2023-11-30 17:45:00.0000000 +01:00,E3C,0.00007826
2023-11-30 21:45:00.0000000 +01:00,2023-11-30 22:00:00.0000000 +01:00,E3C,0.00005406
2023-11-30 23:00:00.0000000 +01:00,2023-11-30 23:15:00.0000000 +01:00,E3C,0.00004730
2023-11-30 23:15:00.0000000 +01:00,2023-11-30 23:30:00.0000000 +01:00,E3C,0.00004646
2023-12-01 00:15:00.0000000 +01:00,2023-12-01 00:30:00.0000000 +01:00,E3C,0.00004266
2023-12-01 02:00:00.0000000 +01:00,2023-12-01 02:15:00.0000000 +01:00,E3C,0.00004144
2023-12-01 02:15:00.0000000 +01:00,2023-12-01 02:30:00.0000000 +01:00,E3C,0.00004124
2023-12-01 02:45:00.0000000 +01:00,2023-12-01 03:00:00.0000000 +01:00,E3C,0.00004144
2023-12-01 03:45:00.0000000 +01:00,2023-12-01 04:00:00.0000000 +01:00,E3C,0.00004164
2023-12-01 04:30:00.0000000 +01:00,2023-12-01 04:45:00.0000000 +01:00,E3C,0.00004288
2023-12-01 06:15:00.0000000 +01:00,2023-12-01 06:30:00.0000000 +01:00,E3C,0.00005062
2023-12-01 06:45:00.0000000 +01:00,2023-12-01 07:00:00.0000000 +01:00,E3C,0.00005806
2023-12-01 09:15:00.0000000 +01:00,2023-12-01 09:30:00.0000000 +01:00,E3C,0.00010302
2023-12-01 09:45:00.0000000 +01:00,2023-12-01 10:00:00.0000000 +01:00,E3C,0.00010348
2023-12-01 10:15:00.0000000 +01:00,2023-12-01 10:30:00.0000000 +01:00,E3C,0.00010442
2023-12-01 11:15:00.0000000 +01:00,2023-12-01 11:30:00.0000000 +01:00,E3C,0.00010526
