StartDate,EndDate,ProfileDescription,Fraction
2023-12-31 00:30:00.0000000 +01:00,2023-12-31 00:45:00.0000000 +01:00,E3C,0.00003890
2023-12-31 02:15:00.0000000 +01:00,2023-12-31 02:30:00.0000000 +01:00,E3C,0.00003776
2023-12-31 02:45:00.0000000 +01:00,2023-12-31 03:00:00.0000000 +01:00,E3C,0.00003784
2023-12-31 03:30:00.0000000 +01:00,2023-12-31 03:45:00.0000000 +01:00,E3C,0.00003810
2023-12-31 04:00:00.0000000 +01:00,2023-12-31 04:15:00.0000000 +01:00,E3C,0.00003800
2023-12-31 05:45:00.0000000 +01:00,2023-12-31 06:00:00.0000000 +01:00,E3C,0.00004036
2023-12-31 07:15:00.0000000 +01:00,2023-12-31 07:30:00.0000000 +01:00,E3C,0.00005036
2023-12-31 07:30:00.0000000 +01:00,2023-12-31 07:45:00.0000000 +01:00,E3C,0.00005286
2023-12-31 09:15:00.0000000 +01:00,2023-12-31 09:30:00.0000000 +01:00,E3C,0.00006594
2023-12-31 09:30:00.0000000 +01:00,2023-12-31 09:45:00.0000000 +01:00,E3C,0.00006650
2023-12-31 10:00:00.0000000 +01:00,2023-12-31 10:15:00.0000000 +01:00,E3C,0.00006734
2023-12-31 10:45:00.0000000 +01:00,2023-12-31 11:00:00.0000000 +01:00,E3C,0.00006812
2023-12-31 11:30:00.0000000 +01:00,2023-12-31 11:45:00.0000000 +01:00,E3C,0.00006796
2023-12-31 13:15:00.0000000 +01:00,2023-12-31 13:30:00.0000000 +01:00,E3C,0.00006306
2023-12-31 13:45:00.0000000 +01:00,2023-12-31 14:00:00.0000000 +01:00,E3C,0.00006210
2023-12-31 14:15:00.0000000 +01:00,2023-12-31 14:30:00.0000000 +01:00,E3C,0.00006104
2023-12-31 14:30:00.0000000 +01:00,2023-12-31 14:45:00.0000000 +01:00,E3C,0.00006030
2023-12-31 16:00:00.0000000 +01:00,2023-12-31 16:15:00.0000000 +01:00,E3C,0.00005458
2023-12-31 16:30:00.0000000 +01:00,2023-12-31 16:45:00.0000000 +01:00,E3C,0.00005374
2023-12-31 16:45:00.0000000 +01:00,2023-12-31 17:00:00.0000000 +01:00,E3C,0.00005402
2023-12-31 17:00:00.0000000 +01:00,2023-12-31 17:15:00.0000000 +01:00,E3C,0.00005330
2023-12-31 17:30:00.0000000 +01:00,2023-12-31 17:45:00.0000000 +01:00,E3C,0.00005058
2023-12-31 18:15:00.0000000 +01:00,2023-12-31 18:30:00.0000000 +01:00,E3C,0.00004726
2023-12-31 18:45:00.0000000 +01:00,2023-12-31 19:00:00.0000000 +01:00,E3C,0.00004594
2023-12-31 19:45:00.0000000 +01:00,2023-12-31 20:00:00.0000000 +01:00,E3C,0.00004468
2023-12-31 22:00:00.0000000 +01:00,2023-12-31 22:15:00.0000000 +01:00,E3C,0.00004142
2023-12-31 22:30:00.0000000 +01:00,2023-12-31 22:45:00.0000000 +01:00,E3C,0.00004102
2023-12-31 23:30:00.0000000 +01:00,2023-12-31 23:45:00.0000000 +01:00,E3C,0.00004004
2024-01-01 00:00:00.0000000 +01:00,2024-01-01 00:15:00.0000000 +01:00,E3C,0.00005496
2024-01-01 01:00:00.0000000 +01:00,2024-01-01 01:15:00.0000000 +01:00,E3C,0.00005866
